Table S7. Detailed results of f4-ratio test with the WL as source.
A B X C O alpha stderr Zscore
GBR-GRO SCO-HAR FIN-TVA RUS-LEV CAN-TEM 0.090051 0.005481 16.43
GBR-GRO SCO-HAR FIN-HEL RUS-LEV CAN-TEM 0.084781 0.005104 16.61
GBR-GRO SCO-HAR FIN-SEI RUS-LEV CAN-TEM 0.092798 0.005483 16.926
GBR-GRO SCO-HAR SWE-GOT RUS-LEV CAN-TEM 0.091045 0.005575 16.332
GBR-GRO SCO-HAR LAT-JAU RUS-LEV CAN-TEM 0.109363 0.005856 18.677
GBR-GRO SCO-HAR POL-GDY RUS-LEV CAN-TEM 0.14856 0.00589 25.222
GBR-GRO SCO-HAR NOR-ROY RUS-LEV CAN-TEM 0.103321 0.006839 15.108
GBR-GRO SCO-HAR GER-RUE RUS-LEV CAN-TEM 0.229827 0.006171 37.241
GBR-GRO SCO-HAR SWE-LUN RUS-LEV CAN-TEM 0.228241 0.008878 25.707
GBR-GRO SCO-HAR DEN-RES RUS-LEV CAN-TEM 0.309192 0.008473 36.492
GBR-GRO SCO-HAR SWE-FIS RUS-LEV CAN-TEM 0.417785 0.007542 55.391
GBR-GRO SCO-HAR NOR-ENG RUS-LEV CAN-TEM 0.454917 0.007374 61.694
GBR-GRO SCO-HAR NOR-KVN RUS-LEV CAN-TEM 0.459484 0.008206 55.993
GBR-GRO SCO-HAR NOR-UGE RUS-LEV CAN-TEM 0.453845 0.010906 41.613
GBR-GRO SCO-HAR DEN-NOR RUS-LEV CAN-TEM 0.66813 0.007731 86.418
GBR-GRO SCO-HAR FRA-VEY RUS-LEV CAN-TEM 0.743873 0.013671 54.412
GBR-GRO SCO-HAR BEL-MAL RUS-LEV CAN-TEM 0.763403 0.008757 87.173
GBR-GRO SCO-HAR GBR-GRO RUS-LEV CAN-TEM 1.436055 0.014948 96.067
