Table S6. Two population symmetrical test with qpWave, the outgroups was set as ANC5					
pop_fix	pop_test	p_rank0_tail	p_rank1_tail	p_rank0_taildiff	p_rank1_taildiff
BEL-MAL	FIN-TVA	1.05E-122	1	1	1.05E-122
BEL-MAL	EST-PUR	4.49E-122	1	1	4.49E-122
BEL-MAL	SWE-BOL	6.58E-122	1	1	6.58E-122
BEL-MAL	FIN-HAM	1.12E-123	1	1	1.12E-123
BEL-MAL	FIN-KIV	7.10E-125	1	1	7.10E-125
BEL-MAL	SWE-BYN	5.66E-111	1	1	5.66E-111
BEL-MAL	SWE-ABB	2.27E-118	1	1	2.27E-118
BEL-MAL	SWE-HAN	3.20E-126	1	1	3.20E-126
BEL-MAL	SWE-NAV	2.19E-103	1	1	2.19E-103
BEL-MAL	SWE-KIR	1.66E-116	1	1	1.66E-116
BEL-MAL	FIN-RII	5.82E-132	1	1	5.82E-132
BEL-MAL	FIN-KEV	7.90E-116	1	1	7.90E-116
BEL-MAL	FIN-PUL	5.49E-108	1	1	5.49E-108
BEL-MAL	FIN-UKO	6.23E-123	1	1	6.23E-123
BEL-MAL	FIN-KAR	4.92E-125	1	1	4.92E-125
BEL-MAL	FIN-KRK	3.95E-128	1	1	3.95E-128
BEL-MAL	FIN-PYO	6.08E-118	1	1	6.08E-118
BEL-MAL	FIN-RYT	1.28E-122	1	1	1.28E-122
BEL-MAL	RUS-MAS	8.99E-130	1	1	8.99E-130
BEL-MAL	RUS-KRU	5.06E-136	1	1	5.06E-136
BEL-MAL	RUS-BOL	2.34E-139	1	1	2.34E-139
BEL-MAL	RUS-LEV	1.94E-136	1	1	1.94E-136
FRA-VEY	DEN-NOR	1.87E-10	1	1	1.87E-10
FRA-VEY	NOR-UGE	2.66E-18	1	1	2.66E-18
FRA-VEY	NOR-KVN	1.34E-05	1	1	1.34E-05
FRA-VEY	NOR-ENG	5.07E-05	1	1	5.07E-05
FRA-VEY	SWE-FIS	3.55E-09	1	1	3.55E-09
FRA-VEY	DEN-RES	6.68E-20	1	1	6.68E-20
FRA-VEY	SWE-LUN	4.65E-27	1	1	4.65E-27
FRA-VEY	GER-RUE	3.98E-29	1	1	3.98E-29
FRA-VEY	NOR-ROY	3.03E-38	1	1	3.03E-38
FRA-VEY	POL-GDY	2.56E-37	1	1	2.56E-37
FRA-VEY	LAT-JAU	1.22E-40	1	1	1.22E-40
FRA-VEY	SWE-GOT	2.49E-43	1	1	2.49E-43
FRA-VEY	FIN-SEI	1.69E-43	1	1	1.69E-43
FRA-VEY	FIN-HEL	4.32E-47	1	1	4.32E-47
FRA-VEY	FIN-TVA	2.40E-45	1	1	2.40E-45
FRA-VEY	EST-PUR	8.15E-47	1	1	8.15E-47
FRA-VEY	SWE-BOL	4.11E-45	1	1	4.11E-45
FRA-VEY	FIN-HAM	6.57E-46	1	1	6.57E-46
FRA-VEY	FIN-KIV	4.67E-48	1	1	4.67E-48
FRA-VEY	SWE-BYN	4.82E-46	1	1	4.82E-46
FRA-VEY	SWE-ABB	7.90E-49	1	1	7.90E-49
FRA-VEY	SWE-HAN	1.24E-56	1	1	1.24E-56
FRA-VEY	SWE-NAV	6.09E-44	1	1	6.09E-44
FRA-VEY	SWE-KIR	3.51E-50	1	1	3.51E-50
FRA-VEY	FIN-RII	1.41E-56	1	1	1.41E-56
FRA-VEY	FIN-KEV	2.18E-50	1	1	2.18E-50
FRA-VEY	FIN-PUL	3.10E-47	1	1	3.10E-47
FRA-VEY	FIN-UKO	5.14E-53	1	1	5.14E-53
FRA-VEY	FIN-KAR	9.45E-53	1	1	9.45E-53
FRA-VEY	FIN-KRK	1.87E-55	1	1	1.87E-55
FRA-VEY	FIN-PYO	5.32E-53	1	1	5.32E-53
FRA-VEY	FIN-RYT	1.36E-57	1	1	1.36E-57
FRA-VEY	RUS-MAS	5.03E-61	1	1	5.03E-61
FRA-VEY	RUS-KRU	5.65E-61	1	1	5.65E-61
FRA-VEY	RUS-BOL	2.23E-63	1	1	2.23E-63
FRA-VEY	RUS-LEV	1.51E-59	1	1	1.51E-59
DEN-NOR	NOR-UGE	2.44E-98	1	1	2.44E-98
DEN-NOR	NOR-KVN	6.97E-75	1	1	6.97E-75
DEN-NOR	NOR-ENG	1.15E-102	1	1	1.15E-102
DEN-NOR	SWE-FIS	8.11E-105	1	1	8.11E-105
DEN-NOR	DEN-RES	1.87E-97	1	1	1.87E-97
DEN-NOR	SWE-LUN	2.32E-97	1	1	2.32E-97
DEN-NOR	GER-RUE	3.32E-122	1	1	3.32E-122
DEN-NOR	NOR-ROY	3.97E-119	1	1	3.97E-119
DEN-NOR	POL-GDY	3.84E-133	1	1	3.84E-133
DEN-NOR	LAT-JAU	2.09E-123	1	1	2.09E-123
DEN-NOR	SWE-GOT	8.02E-133	1	1	8.02E-133
DEN-NOR	FIN-SEI	8.45E-135	1	1	8.45E-135
DEN-NOR	FIN-HEL	2.32E-142	1	1	2.32E-142
DEN-NOR	FIN-TVA	7.30E-137	1	1	7.30E-137
DEN-NOR	EST-PUR	1.18E-134	1	1	1.18E-134
DEN-NOR	SWE-BOL	8.83E-137	1	1	8.83E-137
DEN-NOR	FIN-HAM	2.93E-139	1	1	2.93E-139
DEN-NOR	FIN-KIV	1.36E-136	1	1	1.36E-136
DEN-NOR	SWE-BYN	5.46E-117	1	1	5.46E-117
DEN-NOR	SWE-ABB	1.20E-121	1	1	1.20E-121
DEN-NOR	SWE-HAN	2.47E-127	1	1	2.47E-127
DEN-NOR	SWE-NAV	5.71E-106	1	1	5.71E-106
DEN-NOR	SWE-KIR	6.78E-125	1	1	6.78E-125
DEN-NOR	FIN-RII	1.32E-137	1	1	1.32E-137
DEN-NOR	FIN-KEV	4.78E-121	1	1	4.78E-121
DEN-NOR	FIN-PUL	1.46E-114	1	1	1.46E-114
DEN-NOR	FIN-UKO	1.13E-132	1	1	1.13E-132
DEN-NOR	FIN-KAR	8.21E-136	1	1	8.21E-136
DEN-NOR	FIN-KRK	4.89E-128	1	1	4.89E-128
DEN-NOR	FIN-PYO	2.69E-115	1	1	2.69E-115
DEN-NOR	FIN-RYT	2.81E-129	1	1	2.81E-129
DEN-NOR	RUS-MAS	9.28E-138	1	1	9.28E-138
DEN-NOR	RUS-KRU	9.64E-141	1	1	9.64E-141
DEN-NOR	RUS-BOL	2.91E-147	1	1	2.91E-147
DEN-NOR	RUS-LEV	4.97E-147	1	1	4.97E-147
NOR-UGE	NOR-KVN	1.26E-16	1	1	1.26E-16
NOR-UGE	NOR-ENG	6.98E-18	1	1	6.98E-18
NOR-UGE	SWE-FIS	8.23E-08	1	1	8.23E-08
NOR-UGE	DEN-RES	0.068646	1	1	0.068646
NOR-UGE	SWE-LUN	1.95E-09	1	1	1.95E-09
NOR-UGE	GER-RUE	5.92E-11	1	1	5.92E-11
NOR-UGE	NOR-ROY	2.04E-24	1	1	2.04E-24
NOR-UGE	POL-GDY	5.33E-24	1	1	5.33E-24
NOR-UGE	LAT-JAU	4.29E-26	1	1	4.29E-26
NOR-UGE	SWE-GOT	1.54E-32	1	1	1.54E-32
NOR-UGE	FIN-SEI	1.30E-31	1	1	1.30E-31
NOR-UGE	FIN-HEL	4.87E-36	1	1	4.87E-36
NOR-UGE	FIN-TVA	1.98E-34	1	1	1.98E-34
NOR-UGE	EST-PUR	2.99E-35	1	1	2.99E-35
NOR-UGE	SWE-BOL	3.69E-35	1	1	3.69E-35
NOR-UGE	FIN-HAM	6.25E-35	1	1	6.25E-35
NOR-UGE	FIN-KIV	1.19E-35	1	1	1.19E-35
NOR-UGE	SWE-BYN	9.09E-31	1	1	9.09E-31
NOR-UGE	SWE-ABB	9.37E-38	1	1	9.37E-38
NOR-UGE	SWE-HAN	1.51E-48	1	1	1.51E-48
NOR-UGE	SWE-NAV	5.82E-33	1	1	5.82E-33
NOR-UGE	SWE-KIR	2.73E-42	1	1	2.73E-42
NOR-UGE	FIN-RII	9.43E-44	1	1	9.43E-44
NOR-UGE	FIN-KEV	1.54E-38	1	1	1.54E-38
NOR-UGE	FIN-PUL	1.46E-35	1	1	1.46E-35
NOR-UGE	FIN-UKO	6.70E-41	1	1	6.70E-41
NOR-UGE	FIN-KAR	2.73E-41	1	1	2.73E-41
NOR-UGE	FIN-KRK	5.45E-46	1	1	5.45E-46
NOR-UGE	FIN-PYO	5.99E-39	1	1	5.99E-39
NOR-UGE	FIN-RYT	4.44E-43	1	1	4.44E-43
NOR-UGE	RUS-MAS	8.76E-50	1	1	8.76E-50
NOR-UGE	RUS-KRU	3.36E-48	1	1	3.36E-48
NOR-UGE	RUS-BOL	2.79E-50	1	1	2.79E-50
NOR-UGE	RUS-LEV	2.30E-49	1	1	2.30E-49
NOR-KVN	NOR-ENG	0.973983	1	1	0.973983
NOR-KVN	SWE-FIS	2.50E-06	1	1	2.50E-06
NOR-KVN	DEN-RES	6.51E-39	1	1	6.51E-39
NOR-KVN	SWE-LUN	5.49E-55	1	1	5.49E-55
NOR-KVN	GER-RUE	1.10E-74	1	1	1.10E-74
NOR-KVN	NOR-ROY	7.66E-76	1	1	7.66E-76
NOR-KVN	POL-GDY	9.21E-93	1	1	9.21E-93
NOR-KVN	LAT-JAU	5.52E-88	1	1	5.52E-88
NOR-KVN	SWE-GOT	2.61E-101	1	1	2.61E-101
NOR-KVN	FIN-SEI	7.86E-99	1	1	7.86E-99
NOR-KVN	FIN-HEL	1.08E-101	1	1	1.08E-101
NOR-KVN	FIN-TVA	4.87E-101	1	1	4.87E-101
NOR-KVN	EST-PUR	1.36E-98	1	1	1.36E-98
NOR-KVN	SWE-BOL	6.06E-103	1	1	6.06E-103
NOR-KVN	FIN-HAM	7.61E-99	1	1	7.61E-99
NOR-KVN	FIN-KIV	3.09E-98	1	1	3.09E-98
NOR-KVN	SWE-BYN	1.31E-79	1	1	1.31E-79
NOR-KVN	SWE-ABB	1.32E-86	1	1	1.32E-86
NOR-KVN	SWE-HAN	8.11E-93	1	1	8.11E-93
NOR-KVN	SWE-NAV	8.03E-71	1	1	8.03E-71
NOR-KVN	SWE-KIR	3.08E-86	1	1	3.08E-86
NOR-KVN	FIN-RII	2.20E-97	1	1	2.20E-97
NOR-KVN	FIN-KEV	9.27E-83	1	1	9.27E-83
NOR-KVN	FIN-PUL	3.44E-80	1	1	3.44E-80
NOR-KVN	FIN-UKO	7.11E-91	1	1	7.11E-91
NOR-KVN	FIN-KAR	5.99E-91	1	1	5.99E-91
NOR-KVN	FIN-KRK	5.67E-83	1	1	5.67E-83
