Table S8. Detailed results qpWave testing of triples for the Baltic sea populations.
pop_fix pop_fix2 pop_test prank0_tail prank1_tail prank2_tail prank0_taildiff prank1_taildiff prank2_taildiff
RUS-LEV SCO-HAR FIN-HEL 6.68062035e-191 0.553299041 1 1 8.80370048e-194 0.553299041
RUS-LEV SCO-HAR FIN-TVA 8.29802454e-192 0.866820352 1 1 5.49750361e-195 0.866820352
RUS-LEV SCO-HAR EST-PUR 4.32263119e-189 0.969546849 1 1 2.30255438e-192 0.969546849
RUS-LEV SCO-HAR SWE-BOL 9.6063073e-191 0.789000398 1 1 7.53869108e-194 0.789000398
RUS-LEV SCO-HAR FIN-HAM 1.02326607e-188 0.909751927 1 1 6.32740687e-192 0.909751927
RUS-LEV SCO-HAR FIN-KIV 2.23063122e-189 0.831175486 1 1 1.62161652e-192 0.831175486
RUS-LEV SCO-HAR SWE-BYN 1.64384409e-208 0.380808429 1 1 3.10193429e-211 0.380808429
RUS-LEV SCO-HAR SWE-ABB 2.05934234e-183 0.467783375 1 1 3.59684521e-186 0.467783375
RUS-LEV SCO-HAR SWE-HAN 5.72524931e-201 0.0305656053 1 1 2.08894857e-202 0.0305656053
RUS-LEV SCO-HAR SWE-NAV 2.08667973e-193 0.163311418 1 1 1.21872775e-195 0.163311418
RUS-LEV SCO-HAR SWE-KIR 7.79632094e-194 0.108028454 1 1 7.3095291e-196 0.108028454
RUS-LEV SCO-HAR FIN-RII 1.86700315e-208 0.36534214 1 1 3.71296487e-211 0.36534214
RUS-LEV SCO-HAR FIN-KEV 1.28308556e-203 0.0551786024 1 1 2.3891872e-205 0.0551786024
RUS-LEV SCO-HAR FIN-PUL 2.3335297e-196 0.526049556 1 1 3.16006818e-199 0.526049556
RUS-LEV SCO-HAR FIN-UKO 4.8489052e-204 0.124897481 1 1 3.57406291e-206 0.124897481
RUS-LEV SCO-HAR FIN-KAR 9.68479624e-214 0.677089599 1 1 8.14593059e-217 0.677089599
RUS-LEV SCO-HAR FIN-KRK 3.04712107e-197 0.698989419 1 1 2.74864959e-200 0.698989419
RUS-LEV SCO-HAR FIN-PYO 3.93760671e-204 0.61770965 1 1 4.04131671e-207 0.61770965
RUS-LEV SCO-HAR FIN-RYT 3.21703769e-193 0.287503404 1 1 9.60326873e-196 0.287503404
RUS-LEV SCO-HAR RUS-MAS 3.27362294e-185 0.256715959 1 1 1.19187007e-187 0.256715959
RUS-LEV SCO-HAR RUS-KRU 5.58554313e-193 0.0438695587 1 1 1.45040298e-194 0.0438695587
RUS-LEV SCO-HAR RUS-BOL 1.36182159e-196 0.224746602 1 1 5.33261138e-199 0.224746602
RUS-LEV SWE-FIS SCO-HAR 1.13004049e-202 0.500063762 1 1 1.56357306e-205 0.500063762
RUS-LEV SWE-FIS GBR-GRO 1.2792893e-163 0.282552855 1 1 4.96247083e-166 0.282552855
RUS-LEV SWE-FIS BEL-MAL 1.80864181e-131 0.0246694747 1 1 1.53391568e-132 0.0246694747
RUS-LEV SWE-FIS FRA-VEY 1.46600394e-89 0.489658619 1 1 6.75138014e-92 0.489658619
RUS-LEV SWE-FIS DEN-NOR 2.13986081e-159 0.387709388 1 1 5.82797247e-162 0.387709388
RUS-LEV SWE-FIS NOR-UGE 8.81736784e-86 0.733007425 1 1 2.45374842e-88 0.733007425
RUS-LEV SWE-FIS NOR-KVN 8.94683519e-103 0.698244667 1 1 2.07109775e-105 0.698244667
RUS-LEV SWE-FIS NOR-ENG 7.70903095e-103 0.659468607 1 1 1.93868231e-105 0.659468607
RUS-LEV SWE-FIS SWE-FIS NA NA NA NA NA NA
RUS-LEV SWE-FIS DEN-RES 9.69315381e-85 0.00956447458 1 1 4.24668823e-85 0.00956447458
RUS-LEV SWE-FIS SWE-LUN 4.93339866e-88 0.76267768 1 1 1.24429491e-90 0.76267768
RUS-LEV SWE-FIS GER-RUE 7.67455932e-93 0.446419345 1 1 3.78803142e-95 0.446419345
RUS-LEV SWE-FIS NOR-ROY 1.92949489e-86 0.0223109892 1 1 3.29416345e-87 0.0223109892
RUS-LEV SWE-FIS POL-GDY 2.20568744e-86 0.396962902 1 1 1.40071611e-88 0.396962902
RUS-LEV SWE-FIS LAT-JAU 4.21232334e-85 0.086175594 1 1 1.6514187e-86 0.086175594
RUS-LEV SWE-FIS SWE-GOT 1.72194012e-89 0.3963935 1 1 1.04206209e-91 0.3963935
RUS-LEV SWE-FIS FIN-SEI 2.58347369e-86 0.299805009 1 1 2.3260071e-88 0.299805009
RUS-LEV SWE-FIS FIN-HEL 3.42539139e-91 0.104148238 1 1 9.83671891e-93 0.104148238
RUS-LEV SWE-FIS FIN-TVA 4.86770532e-89 0.518823573 1 1 2.09376347e-91 0.518823573
RUS-LEV SWE-FIS EST-PUR 9.78848513e-88 0.745845268 1 1 2.56868085e-90 0.745845268
RUS-LEV SWE-FIS SWE-BOL 4.49515748e-88 0.31286389 1 1 3.7338585e-90 0.31286389
RUS-LEV SWE-FIS FIN-HAM 9.01495531e-88 0.604113717 1 1 3.21680401e-90 0.604113717
RUS-LEV SWE-FIS FIN-KIV 3.06031566e-89 0.515477532 1 1 1.3234823e-91 0.515477532
RUS-LEV SWE-FIS SWE-BYN 3.14154238e-90 0.503141863 1 1 1.3812171e-92 0.503141863
RUS-LEV SWE-FIS SWE-ABB 8.07012059e-83 0.279987902 1 1 8.36850661e-85 0.279987902
RUS-LEV SWE-FIS SWE-HAN 1.26125923e-92 0.0337790902 1 1 1.24291502e-93 0.0337790902
RUS-LEV SWE-FIS SWE-NAV 3.65020528e-86 0.128360674 1 1 8.94349458e-88 0.128360674
RUS-LEV SWE-FIS SWE-KIR 9.76003312e-86 0.0799001844 1 1 4.12302208e-87 0.0799001844
RUS-LEV SWE-FIS FIN-RII 4.72869383e-90 0.345897579 1 1 3.36368864e-92 0.345897579
RUS-LEV SWE-FIS FIN-KEV 1.84031623e-87 0.0628535868 1 1 9.89005989e-89 0.0628535868
RUS-LEV SWE-FIS FIN-PUL 5.90609813e-88 0.455160394 1 1 3.06949911e-90 0.455160394
RUS-LEV SWE-FIS FIN-UKO 9.0596345e-85 0.113122054 1 1 2.62400846e-86 0.113122054
RUS-LEV SWE-FIS FIN-KAR 1.05931365e-88 0.671512491 1 1 3.20335184e-91 0.671512491
RUS-LEV SWE-FIS FIN-KRK 2.37764297e-93 0.664428483 1 1 6.79016088e-96 0.664428483
RUS-LEV SWE-FIS FIN-PYO 1.41479908e-89 0.622729194 1 1 4.7004085e-92 0.622729194
RUS-LEV SWE-FIS FIN-RYT 5.27970088e-90 0.404516115 1 1 3.08898711e-92 0.404516115
RUS-LEV SWE-FIS RUS-MAS 4.44208543e-87 0.199629439 1 1 6.42376629e-89 0.199629439
RUS-LEV SWE-FIS RUS-KRU 2.72520714e-91 0.037399777 1 1 2.45059867e-92 0.037399777
RUS-LEV SWE-FIS RUS-BOL 1.55092061e-89 0.345310738 1 1 1.11457378e-91 0.345310738
RUS-LEV NOR-UGE SCO-HAR 1.04156261e-194 0.923170743 1 1 5.97029585e-198 0.923170743
RUS-LEV NOR-UGE GBR-GRO 1.80827409e-168 0.961984295 1 1 1.16339e-171 0.961984295
RUS-LEV NOR-UGE BEL-MAL 2.39319725e-141 0.650082628 1 1 3.89167535e-144 0.650082628
RUS-LEV NOR-UGE FRA-VEY 2.62290394e-62 0.7176585 1 1 1.18278216e-64 0.7176585
RUS-LEV NOR-UGE DEN-NOR 1.16718428e-165 0.769753671 1 1 1.16976179e-168 0.769753671
RUS-LEV NOR-UGE NOR-UGE NA NA NA NA NA NA
RUS-LEV NOR-UGE NOR-KVN 9.84684761e-103 0.811722757 1 1 1.80165675e-105 0.811722757
RUS-LEV NOR-UGE NOR-ENG 2.68984265e-103 0.829802546 1 1 4.70484995e-106 0.829802546
RUS-LEV NOR-UGE SWE-FIS 8.81736784e-86 0.733007425 1 1 2.45374842e-88 0.733007425
RUS-LEV NOR-UGE DEN-RES 2.16329528e-56 0.591178215 1 1 1.4806666e-58 0.591178215
RUS-LEV NOR-UGE SWE-LUN 6.81160525e-54 0.84552535 1 1 2.89026466e-56 0.84552535
RUS-LEV NOR-UGE GER-RUE 1.79579104e-71 0.637684474 1 1 7.93782005e-74 0.637684474
RUS-LEV NOR-UGE NOR-ROY 4.87148695e-51 0.150746425 1 1 2.04903181e-52 0.150746425
RUS-LEV NOR-UGE POL-GDY 1.63074402e-58 0.700043463 1 1 8.33162887e-61 0.700043463
RUS-LEV NOR-UGE LAT-JAU 2.76251865e-53 0.356539059 1 1 3.94026751e-55 0.356539059
RUS-LEV NOR-UGE SWE-GOT 6.28562035e-51 0.464763135 1 1 6.82493171e-53 0.464763135
RUS-LEV NOR-UGE FIN-SEI 7.79900672e-51 0.400410523 1 1 1.02674841e-52 0.400410523
RUS-LEV NOR-UGE FIN-HEL 1.01694282e-50 0.257414204 1 1 2.30611473e-52 0.257414204
RUS-LEV NOR-UGE FIN-TVA 5.79953741e-51 0.57643188 1 1 4.72784529e-53 0.57643188
RUS-LEV NOR-UGE EST-PUR 3.89730798e-48 0.837440334 1 1 1.96667117e-50 0.837440334
RUS-LEV NOR-UGE SWE-BOL 2.70866946e-50 0.459133367 1 1 3.03976356e-52 0.459133367
RUS-LEV NOR-UGE FIN-HAM 3.34630573e-49 0.616743324 1 1 2.60835416e-51 0.616743324
RUS-LEV NOR-UGE FIN-KIV 1.72598833e-51 0.503992178 1 1 1.66074757e-53 0.503992178
RUS-LEV NOR-UGE SWE-BYN 4.94315559e-51 0.46196733 1 1 5.39408279e-53 0.46196733
RUS-LEV NOR-UGE SWE-ABB 1.56405974e-44 0.436266357 1 1 2.21427301e-46 0.436266357
RUS-LEV NOR-UGE SWE-HAN 2.10960317e-55 0.0305277437 1 1 4.71258304e-56 0.0305277437
RUS-LEV NOR-UGE SWE-NAV 5.66326783e-47 0.163722164 1 1 2.42444812e-48 0.163722164
RUS-LEV NOR-UGE SWE-KIR 1.4392729e-46 0.0869988205 1 1 1.27883462e-47 0.0869988205
RUS-LEV NOR-UGE FIN-RII 1.20374647e-47 0.364119218 1 1 1.95041647e-49 0.364119218
RUS-LEV NOR-UGE FIN-KEV 3.91843157e-46 0.0554543968 1 1 5.81770999e-47 0.0554543968
RUS-LEV NOR-UGE FIN-PUL 4.93585608e-48 0.547330467 1 1 4.68322281e-50 0.547330467
RUS-LEV NOR-UGE FIN-UKO 2.16517526e-47 0.122258552 1 1 1.27976499e-48 0.122258552
RUS-LEV NOR-UGE FIN-KAR 1.04464199e-52 0.672172461 1 1 6.55045306e-55 0.672172461
RUS-LEV NOR-UGE FIN-KRK 8.58328046e-56 0.669647229 1 1 5.00079876e-58 0.669647229
RUS-LEV NOR-UGE FIN-PYO 6.960984e-49 0.626327277 1 1 5.35759887e-51 0.626327277
RUS-LEV NOR-UGE FIN-RYT 1.90877905e-48 0.366866233 1 1 2.99500312e-50 0.366866233
RUS-LEV NOR-UGE RUS-MAS 6.75339386e-50 0.242636799 1 1 1.68037696e-51 0.242636799
RUS-LEV NOR-UGE RUS-KRU 1.18143617e-48 0.0334078801 1 1 2.84847282e-49 0.0334078801
RUS-LEV NOR-UGE RUS-BOL 1.4598301e-51 0.315542787 1 1 2.53141122e-53 0.315542787
RUS-LEV NOR-KVN SCO-HAR 2.10796726e-204 0.717012687 1 1 1.73746194e-207 0.717012687
RUS-LEV NOR-KVN GBR-GRO 4.80484843e-167 0.724592246 1 1 5.22677695e-170 0.724592246
RUS-LEV NOR-KVN BEL-MAL 8.9886387e-134 0.335144441 1 1 3.78079379e-136 0.335144441
RUS-LEV NOR-KVN FRA-VEY 8.15949892e-106 0.716234558 1 1 1.7440045e-108 0.716234558
RUS-LEV NOR-KVN DEN-NOR 8.48043913e-156 0.9453898 1 1 6.37682871e-159 0.9453898
RUS-LEV NOR-KVN NOR-UGE 9.84684761e-103 0.811722757 1 1 1.80165675e-105 0.811722757
RUS-LEV NOR-KVN NOR-KVN NA NA NA NA NA NA
RUS-LEV NOR-KVN NOR-ENG 3.47738956e-105 0.945974384 1 1 4.59977403e-108 0.945974384
RUS-LEV NOR-KVN SWE-FIS 8.94683519e-103 0.698244667 1 1 2.07109775e-105 0.698244667
RUS-LEV NOR-KVN DEN-RES 6.25971429e-103 0.0320342494 1 1 5.63858611e-104 0.0320342494
RUS-LEV NOR-KVN SWE-LUN 5.0454898e-106 0.975021403 1 1 6.10530372e-109 0.975021403
RUS-LEV NOR-KVN GER-RUE 6.20210535e-106 0.876357226 1 1 9.49579086e-109 0.876357226
RUS-LEV NOR-KVN NOR-ROY 1.28011386e-101 0.120139768 1 1 2.68124868e-103 0.120139768
RUS-LEV NOR-KVN POL-GDY 8.49416282e-105 0.772372594 1 1 1.63784677e-107 0.772372594
RUS-LEV NOR-KVN LAT-JAU 6.58159555e-105 0.234055817 1 1 6.05667372e-107 0.234055817
RUS-LEV NOR-KVN SWE-GOT 1.7440197e-108 0.607065394 1 1 4.57064328e-111 0.607065394
RUS-LEV NOR-KVN FIN-SEI 2.69371089e-104 0.467220372 1 1 1.06215445e-106 0.467220372
RUS-LEV NOR-KVN FIN-HEL 9.58147156e-108 0.273815565 1 1 7.03176355e-110 0.273815565
RUS-LEV NOR-KVN FIN-TVA 7.35614319e-107 0.683348776 1 1 1.66277444e-109 0.683348776
RUS-LEV NOR-KVN EST-PUR 4.35753563e-104 0.925834417 1 1 6.13783338e-107 0.925834417
RUS-LEV NOR-KVN SWE-BOL 1.99457136e-106 0.564903851 1 1 5.93399856e-109 0.564903851
RUS-LEV NOR-KVN FIN-HAM 1.0338258e-104 0.786771178 1 1 1.93747232e-107 0.786771178
RUS-LEV NOR-KVN FIN-KIV 4.41107696e-105 0.723719404 1 1 9.37365559e-108 0.723719404
RUS-LEV NOR-KVN SWE-BYN 1.42871444e-107 0.495850637 1 1 4.98604754e-110 0.495850637
RUS-LEV NOR-KVN SWE-ABB 1.67674537e-100 0.301680022 1 1 1.20772968e-102 0.301680022
RUS-LEV NOR-KVN SWE-HAN 2.57833467e-110 0.034033177 1 1 1.97091583e-111 0.034033177
RUS-LEV NOR-KVN SWE-NAV 5.53523796e-101 0.214447305 1 1 5.96607641e-103 0.214447305
RUS-LEV NOR-KVN SWE-KIR 6.22326112e-102 0.0749547377 1 1 2.21448045e-103 0.0749547377
RUS-LEV NOR-KVN FIN-RII 1.0702879e-107 0.403937363 1 1 4.86046001e-110 0.403937363
RUS-LEV NOR-KVN FIN-KEV 1.07642539e-102 0.0703200036 1 1 4.07149874e-104 0.0703200036
RUS-LEV NOR-KVN FIN-PUL 1.75176673e-103 0.481680184 1 1 6.71218893e-106 0.481680184
RUS-LEV NOR-KVN FIN-UKO 5.85179078e-102 0.129984267 1 1 1.1146219e-103 0.129984267
RUS-LEV NOR-KVN FIN-KAR 8.54438565e-105 0.664353454 1 1 2.0694789e-107 0.664353454
RUS-LEV NOR-KVN FIN-KRK 2.04717722e-101 0.721082227 1 1 4.6022266e-104 0.721082227
RUS-LEV NOR-KVN FIN-PYO 8.88772789e-105 0.624799436 1 1 2.35084915e-107 0.624799436
RUS-LEV NOR-KVN FIN-RYT 1.50463512e-102 0.367861302 1 1 8.24332385e-105 0.367861302
RUS-LEV NOR-KVN RUS-MAS 8.25288457e-100 0.24987256 1 1 7.53873857e-102 0.24987256
RUS-LEV NOR-KVN RUS-KRU 3.89088413e-104 0.035116383 1 1 3.11695631e-105 0.035116383
RUS-LEV NOR-KVN RUS-BOL 5.04109507e-103 0.329783281 1 1 3.14246122e-105 0.329783281
RUS-LEV NOR-ENG SCO-HAR 3.40447149e-204 0.579101658 1 1 3.82156407e-207 0.579101658
RUS-LEV NOR-ENG GBR-GRO 1.45169363e-166 0.589273462 1 1 2.13857973e-169 0.589273462
RUS-LEV NOR-ENG BEL-MAL 2.73551413e-131 0.182701585 1 1 2.44921997e-133 0.182701585
RUS-LEV NOR-ENG FRA-VEY 1.60497714e-106 0.746554498 1 1 3.18917891e-109 0.746554498
RUS-LEV NOR-ENG DEN-NOR 5.06656363e-168 0.751460842 1 1 5.16668324e-171 0.751460842
RUS-LEV NOR-ENG NOR-UGE 2.68984265e-103 0.829802546 1 1 4.70484995e-106 0.829802546
RUS-LEV NOR-ENG NOR-KVN 3.47738956e-105 0.945974384 1 1 4.59977403e-108 0.945974384
RUS-LEV NOR-ENG NOR-ENG NA NA NA NA NA NA
RUS-LEV NOR-ENG SWE-FIS 7.70903095e-103 0.659468607 1 1 1.93868231e-105 0.659468607
RUS-LEV NOR-ENG DEN-RES 5.36343981e-101 0.0128379966 1 1 1.34094851e-101 0.0128379966
RUS-LEV NOR-ENG SWE-LUN 5.4927501e-102 0.931401097 1 1 7.86380493e-105 0.931401097
RUS-LEV NOR-ENG GER-RUE 2.41447776e-102 0.605708663 1 1 6.89866341e-105 0.605708663
RUS-LEV NOR-ENG NOR-ROY 3.9582074e-100 0.0287825893 1 1 4.16760088e-101 0.0287825893
RUS-LEV NOR-ENG POL-GDY 2.05865664e-102 0.579406315 1 1 6.24928953e-105 0.579406315
RUS-LEV NOR-ENG LAT-JAU 3.15719985e-100 0.104198738 1 1 7.93137527e-102 0.104198738
RUS-LEV NOR-ENG SWE-GOT 5.92240018e-103 0.556618361 1 1 1.88498083e-105 0.556618361
RUS-LEV NOR-ENG FIN-SEI 4.92968915e-103 0.362420838 1 1 2.73313982e-105 0.362420838
RUS-LEV NOR-ENG FIN-HEL 4.16468092e-104 0.189478783 1 1 4.97404761e-106 0.189478783
RUS-LEV NOR-ENG FIN-TVA 2.3912543e-103 0.559032982 1 1 7.52509325e-106 0.559032982
RUS-LEV NOR-ENG EST-PUR 2.0584796e-101 0.806264614 1 1 3.87991042e-104 0.806264614
RUS-LEV NOR-ENG SWE-BOL 7.22313833e-103 0.450522999 1 1 3.04516904e-105 0.450522999
RUS-LEV NOR-ENG FIN-HAM 2.57863244e-103 0.696165317 1 1 5.95103065e-106 0.696165317
RUS-LEV NOR-ENG FIN-KIV 5.04902158e-104 0.622042992 1 1 1.3577982e-106 0.622042992
RUS-LEV NOR-ENG SWE-BYN 2.98066088e-102 0.456499234 1 1 1.24595679e-104 0.456499234
RUS-LEV NOR-ENG SWE-ABB 2.65745998e-97 0.39123478 1 1 1.45201109e-99 0.39123478
RUS-LEV NOR-ENG SWE-HAN 2.28108707e-108 0.0316401731 1 1 1.93708626e-109 0.0316401731
RUS-LEV NOR-ENG SWE-NAV 6.52253645e-98 0.124634321 1 1 1.38060128e-99 0.124634321
RUS-LEV NOR-ENG SWE-KIR 2.96426959e-100 0.0719356285 1 1 1.13076827e-101 0.0719356285
RUS-LEV NOR-ENG FIN-RII 1.62341599e-104 0.302265669 1 1 1.10336324e-106 0.302265669
RUS-LEV NOR-ENG FIN-KEV 1.8174044e-100 0.0343959677 1 1 1.56657095e-101 0.0343959677
RUS-LEV NOR-ENG FIN-PUL 5.14470518e-106 0.499544439 1 1 1.81531677e-108 0.499544439
RUS-LEV NOR-ENG FIN-UKO 2.59555124e-100 0.121016235 1 1 5.4911096e-102 0.121016235
RUS-LEV NOR-ENG FIN-KAR 3.10497535e-105 0.656580654 1 1 7.60384948e-108 0.656580654
RUS-LEV NOR-ENG FIN-KRK 1.13379582e-103 0.738537124 1 1 2.38138366e-106 0.738537124
RUS-LEV NOR-ENG FIN-PYO 4.63239628e-103 0.559171621 1 1 1.46308555e-105 0.559171621
RUS-LEV NOR-ENG FIN-RYT 4.97843675e-105 0.392231056 1 1 2.43203851e-107 0.392231056
RUS-LEV NOR-ENG RUS-MAS 2.30974764e-98 0.219393548 1 1 2.51522884e-100 0.219393548
